item_name,amount,type,date,farm_owner_id
buffalo,7406.08,Harvest,2022-03-11,29
fruit,1543.48,Harvest,2022-07-16,18
irrigation system,3554.77,Harvest,2023-04-16,35
tea,2411.05,Investment,2023-03-02,15
sheep,6792.43,Investment,2023-03-08,85
pulses,9854.21,Investment,2024-04-07,49
fruit,8388.3,Harvest,2023-07-16,61
seed drill,8397.17,Investment,2022-07-21,48
groundnut,3697.64,Harvest,2024-05-29,7
turkey,9478.5,Investment,2023-06-17,98
poultry,3696.25,Harvest,2022-01-15,30
groundnut,4434.37,Harvest,2023-11-15,71
cow,4965.03,Harvest,2023-11-10,85
pulses,6460.13,Harvest,2022-02-19,82
fish,3312.25,Harvest,2022-03-09,71
rubber,8208.94,Harvest,2024-02-15,43
pig,8666.31,Investment,2022-06-15,51
buffalo,8591.84,Harvest,2024-01-07,18
coconut,8680.98,Investment,2022-10-05,44
vegetable,9167.02,Investment,2022-08-17,54
cows,8346.51,Investment,2022-01-06,97
coconut,8224.25,Investment,2022-06-26,19
sprayer,793.95,Harvest,2023-02-07,37
duck,5987.86,Harvest,2022-08-30,7
harvester,190.33,Harvest,2022-04-27,67
cotton,2151.76,Harvest,2023-12-10,12
buffalo,6818.46,Investment,2023-03-14,81
sheep,525.58,Investment,2024-04-15,28
irrigation system,9002.46,Harvest,2022-04-03,6
buffalo,7764.36,Investment,2023-09-24,4
irrigation system,5121.41,Harvest,2023-07-26,68
harvester,7828.28,Investment,2023-06-16,2
duck,4128.14,Harvest,2024-04-01,94
pulses,9105.99,Harvest,2023-02-13,86
irrigation system,6352.11,Harvest,2024-05-27,60
duck,6045.38,Harvest,2022-07-21,93
pig,4166.6,Harvest,2023-05-16,67
millets,1464.45,Investment,2023-12-02,53
groundnut,3021.13,Investment,2022-07-08,59
tractor,7719.84,Harvest,2024-01-31,29
pulses,7013.74,Investment,2023-01-09,46
sprayer,1829.76,Investment,2024-05-07,86
pulses,3237.85,Investment,2022-05-22,25
groundnut,1734.99,Harvest,2023-12-24,40
vegetable,7344.63,Harvest,2022-08-13,34
poultry,8208.83,Investment,2023-08-17,59
sugarcane,4759.02,Harvest,2024-01-24,17
hen,1969.17,Harvest,2023-11-17,11
irrigation system,3759.99,Harvest,2023-08-23,3
pulses,3309.82,Investment,2022-07-22,44
millets,2432.7,Investment,2022-09-01,57
maize,2367.04,Investment,2023-09-03,94
fertilizer spreader,7032.28,Investment,2022-02-16,48
sugarcane,9866.68,Investment,2024-01-05,20
fish,8278.96,Investment,2022-11-12,58
coffee,1940.44,Harvest,2023-04-28,33
vegetable,7513.98,Harvest,2023-04-28,50
fruit,6422.58,Investment,2022-04-13,60
hen,7216.28,Investment,2023-11-14,82
cow,3960.99,Investment,2022-10-02,25
pig,6951.84,Harvest,2023-02-18,55
vegetable,1072.71,Harvest,2024-06-02,98
coffee,7180.97,Investment,2022-10-18,22
pulses,8544.51,Investment,2022-03-03,22
vegetable,9837.6,Harvest,2023-06-10,17
harvester,5745.48,Investment,2023-04-03,73
hen,5009.68,Harvest,2022-02-15,15
rubber,1810.59,Harvest,2023-11-07,10
coffee,1310.95,Harvest,2023-10-02,21
fruit,8475.89,Investment,2023-10-16,37
fruit,102.64,Harvest,2023-09-06,69
duck,1729.46,Investment,2023-03-04,50
rice,9748.83,Harvest,2022-09-28,23
fertilizer spreader,1927.67,Investment,2023-04-28,4
rice,4278.72,Harvest,2023-10-24,31
hen,5240.5,Harvest,2022-07-07,64
tea,2929.88,Harvest,2023-01-19,63
sugarcane,5584.98,Investment,2022-06-19,12
pulses,4218.03,Harvest,2023-12-06,35
wheat,394.23,Harvest,2022-02-28,65
poultry,4860.05,Investment,2022-05-14,83
vegetable,1607.41,Investment,2023-05-12,57
seed drill,8106.44,Harvest,2022-10-24,15
pig,2638.16,Investment,2023-03-30,11
millets,1263.85,Harvest,2023-02-24,70
seed drill,8330.53,Harvest,2023-12-25,97
seed drill,5339.45,Harvest,2022-02-19,84
tea,1691.07,Investment,2023-05-14,58
hen,9626.84,Harvest,2022-04-22,60
tea,6459.95,Investment,2023-10-29,47
tractor,6893.96,Harvest,2022-04-03,5
cotton,8168.31,Harvest,2022-01-18,15
cows,1192.14,Harvest,2023-01-10,75
maize,4208.14,Harvest,2022-02-06,30
horse,8403.27,Investment,2022-04-02,8
cotton,2913.08,Harvest,2023-08-09,36
sprayer,9390.08,Harvest,2022-11-20,29
goats,8121.11,Investment,2024-03-11,69
millets,2038.19,Investment,2022-04-16,11
cows,9663.88,Harvest,2024-04-04,5
hen,5129.0,Harvest,2022-11-18,47
fish,9281.63,Investment,2022-12-23,60
tractor,8109.45,Harvest,2022-08-22,20
turkey,6764.59,Harvest,2023-06-01,61
hen,1566.17,Investment,2022-05-03,93
fertilizer spreader,8544.08,Investment,2022-12-23,69
tractor,225.38,Harvest,2023-12-30,97
coffee,4005.8,Harvest,2022-06-15,40
maize,3487.89,Harvest,2023-11-05,42
maize,9433.36,Harvest,2022-06-21,69
hen,1128.02,Investment,2022-09-03,11
horse,1247.48,Investment,2024-04-15,54
groundnut,296.13,Investment,2024-02-03,11
groundnut,851.51,Investment,2023-05-05,66
poultry,2296.31,Harvest,2023-02-28,46
harvester,3670.54,Harvest,2024-01-18,4
seed drill,5833.62,Investment,2024-04-25,62
wheat,1528.45,Harvest,2023-07-19,6
goats,9272.49,Investment,2022-01-19,5
wheat,7870.5,Investment,2022-11-16,39
duck,8432.79,Investment,2024-02-27,90
rubber,1815.16,Harvest,2023-06-04,3
tractor,515.89,Investment,2022-05-02,47
cow,7262.73,Harvest,2023-03-08,55
harvester,2023.78,Harvest,2023-10-20,13
fruit,1797.37,Harvest,2022-05-23,52
coconut,9194.6,Investment,2022-05-28,45
plough,3253.29,Investment,2022-09-23,26
fish,9132.88,Harvest,2022-05-13,31
coffee,1137.54,Investment,2022-07-12,26
fruit,8205.72,Harvest,2023-05-29,15
vegetable,5091.42,Investment,2022-07-28,55
cotton,8173.68,Harvest,2024-02-13,98
goats,4420.56,Investment,2022-09-15,95
cows,855.07,Investment,2024-04-12,50
poultry,4040.48,Harvest,2023-11-18,1
wheat,4896.55,Harvest,2022-01-28,69
pulses,8086.7,Harvest,2022-04-12,72
turkey,1133.0,Investment,2023-12-04,71
duck,4938.01,Harvest,2022-09-28,30
coffee,2448.41,Harvest,2022-08-01,7
groundnut,7763.11,Investment,2022-02-03,10
harvester,2611.77,Harvest,2022-06-18,25
buffalo,9905.18,Investment,2023-01-08,35
harvester,7703.25,Investment,2023-11-18,63
buffalo,2675.71,Investment,2022-07-04,24
rice,6394.88,Investment,2022-04-24,1
duck,595.18,Investment,2022-04-27,40
hen,1899.87,Harvest,2024-01-15,90
coconut,1024.33,Harvest,2024-04-17,69
goat,5040.2,Harvest,2024-05-29,81
millets,1595.14,Investment,2022-05-11,17
plough,4643.06,Harvest,2023-06-05,91
hen,1186.38,Harvest,2022-01-16,6
turkey,1925.13,Investment,2023-12-11,42
millets,753.65,Harvest,2023-12-26,68
irrigation system,9866.96,Investment,2024-02-16,46
tea,640.1,Investment,2022-03-28,99
hen,1698.8,Investment,2022-09-26,3
maize,8422.02,Investment,2022-01-03,71
duck,5159.39,Harvest,2024-03-19,85
buffalo,3712.68,Investment,2023-10-07,32
turkey,1769.35,Harvest,2023-08-28,26
irrigation system,4648.27,Investment,2022-04-19,17
vegetable,308.85,Investment,2023-08-13,63
maize,4647.27,Investment,2022-01-29,30
pulses,807.3,Investment,2023-05-30,20
groundnut,7746.65,Harvest,2023-11-04,16
irrigation system,2700.18,Harvest,2022-12-17,56
pulses,2329.57,Investment,2023-09-04,73
horse,789.72,Investment,2023-02-12,13
sugarcane,554.62,Harvest,2023-03-10,55
horse,3324.55,Investment,2022-04-02,11
horse,6002.38,Harvest,2022-06-24,41
millets,8673.2,Harvest,2022-01-01,49
irrigation system,9587.82,Investment,2022-09-15,22
poultry,109.02,Investment,2024-01-11,6
goat,4430.0,Investment,2023-09-25,91
sprayer,7694.28,Harvest,2023-09-24,91
plough,6686.12,Harvest,2022-09-08,52
irrigation system,5439.6,Harvest,2022-11-17,41
cow,7293.15,Investment,2022-08-12,65
buffalo,2691.68,Investment,2022-06-03,98
vegetable,5578.99,Harvest,2023-06-01,100
tractor,2971.5,Harvest,2023-12-18,23
sprayer,8697.1,Harvest,2023-10-30,95
millets,2056.5,Harvest,2023-04-16,25
pig,6256.25,Harvest,2023-11-18,99
seed drill,9712.83,Investment,2024-04-13,24
pig,2679.11,Harvest,2024-05-02,99
