item_activity,amount,date,farm_owner_id
buffalo Harvest,7406.08,11/03/22,29
fruit Harvest,1543.48,16/07/22,18
irrigation system Harvest,3554.77,16/04/23,35
tea Investment,2411.05,02/03/23,15
sheep Investment,6792.43,08/03/23,85
pulses Investment,9854.21,07/04/24,49
fruit Harvest,8388.3,16/07/23,61
seed drill Investment,8397.17,21/07/22,48
groundnut Harvest,3697.64,29/05/24,7
turkey Investment,9478.5,17/06/23,98
poultry Harvest,3696.25,15/01/22,30
groundnut Harvest,4434.37,15/11/23,71
cow Harvest,4965.03,10/11/23,85
pulses Harvest,6460.13,19/02/22,82
fish Harvest,3312.25,09/03/22,71
rubber Harvest,8208.94,15/02/24,43
pig Investment,8666.31,15/06/22,51
buffalo Harvest,8591.84,07/01/24,18
coconut Investment,8680.98,05/10/22,44
vegetable Investment,9167.02,17/08/22,54
cows Investment,8346.51,06/01/22,97
coconut Investment,8224.25,26/06/22,19
sprayer Harvest,793.95,07/02/23,37
duck Harvest,5987.86,30/08/22,7
harvester Harvest,190.33,27/04/22,67
cotton Harvest,2151.76,10/12/23,12
buffalo Investment,6818.46,14/03/23,81
sheep Investment,525.58,15/04/24,28
irrigation system Harvest,9002.46,03/04/22,6
buffalo Investment,7764.36,24/09/23,4
irrigation system Harvest,5121.41,26/07/23,68
harvester Investment,7828.28,16/06/23,2
duck Harvest,4128.14,01/04/24,94
pulses Harvest,9105.99,13/02/23,86
irrigation system Harvest,6352.11,27/05/24,60
duck Harvest,6045.38,21/07/22,93
pig Harvest,4166.6,16/05/23,67
millets Investment,1464.45,02/12/23,53
groundnut Investment,3021.13,08/07/22,59
tractor Harvest,7719.84,31/01/24,29
pulses Investment,7013.74,09/01/23,46
sprayer Investment,1829.76,07/05/24,86
pulses Investment,3237.85,22/05/22,25
groundnut Harvest,1734.99,24/12/23,40
vegetable Harvest,7344.63,13/08/22,34
poultry Investment,8208.83,17/08/23,59
sugarcane Harvest,4759.02,24/01/24,17
hen Harvest,1969.17,17/11/23,11
irrigation system Harvest,3759.99,23/08/23,3
pulses Investment,3309.82,22/07/22,44
millets Investment,2432.7,01/09/22,57
maize Investment,2367.04,03/09/23,94
fertilizer spreader Investment,7032.28,16/02/22,48
sugarcane Investment,9866.68,05/01/24,20
fish Investment,8278.96,12/11/22,58
coffee Harvest,1940.44,28/04/23,33
vegetable Harvest,7513.98,28/04/23,50
fruit Investment,6422.58,13/04/22,60
hen Investment,7216.28,14/11/23,82
cow Investment,3960.99,02/10/22,25
pig Harvest,6951.84,18/02/23,55
vegetable Harvest,1072.71,02/06/24,98
coffee Investment,7180.97,18/10/22,22
pulses Investment,8544.51,03/03/22,22
vegetable Harvest,9837.6,10/06/23,17
harvester Investment,5745.48,03/04/23,73
hen Harvest,5009.68,15/02/22,15
rubber Harvest,1810.59,07/11/23,10
coffee Harvest,1310.95,02/10/23,21
fruit Investment,8475.89,16/10/23,37
fruit Harvest,102.64,06/09/23,69
duck Investment,1729.46,04/03/23,50
rice Harvest,9748.83,28/09/22,23
fertilizer spreader Investment,1927.67,28/04/23,4
rice Harvest,4278.72,24/10/23,31
hen Harvest,5240.5,07/07/22,64
tea Harvest,2929.88,19/01/23,63
sugarcane Investment,5584.98,19/06/22,12
pulses Harvest,4218.03,06/12/23,35
wheat Harvest,394.23,28/02/22,65
poultry Investment,4860.05,14/05/22,83
vegetable Investment,1607.41,12/05/23,57
seed drill Harvest,8106.44,24/10/22,15
pig Investment,2638.16,30/03/23,11
millets Harvest,1263.85,24/02/23,70
seed drill Harvest,8330.53,25/12/23,97
seed drill Harvest,5339.45,19/02/22,84
tea Investment,1691.07,14/05/23,58
hen Harvest,9626.84,22/04/22,60
tea Investment,6459.95,29/10/23,47
tractor Harvest,6893.96,03/04/22,5
cotton Harvest,8168.31,18/01/22,15
cows Harvest,1192.14,10/01/23,75
maize Harvest,4208.14,06/02/22,30
horse Investment,8403.27,02/04/22,8
cotton Harvest,2913.08,09/08/23,36
sprayer Harvest,9390.08,20/11/22,29
goats Investment,8121.11,11/03/24,69
millets Investment,2038.19,16/04/22,11
cows Harvest,9663.88,04/04/24,5
hen Harvest,5129,18/11/22,47
fish Investment,9281.63,23/12/22,60
tractor Harvest,8109.45,22/08/22,20
turkey Harvest,6764.59,01/06/23,61
hen Investment,1566.17,03/05/22,93
fertilizer spreader Investment,8544.08,23/12/22,69
tractor Harvest,225.38,30/12/23,97
coffee Harvest,4005.8,15/06/22,40
maize Harvest,3487.89,05/11/23,42
maize Harvest,9433.36,21/06/22,69
hen Investment,1128.02,03/09/22,11
horse Investment,1247.48,15/04/24,54
groundnut Investment,296.13,03/02/24,11
groundnut Investment,851.51,05/05/23,66
poultry Harvest,2296.31,28/02/23,46
harvester Harvest,3670.54,18/01/24,4
seed drill Investment,5833.62,25/04/24,62
wheat Harvest,1528.45,19/07/23,6
goats Investment,9272.49,19/01/22,5
wheat Investment,7870.5,16/11/22,39
duck Investment,8432.79,27/02/24,90
rubber Harvest,1815.16,04/06/23,3
tractor Investment,515.89,02/05/22,47
cow Harvest,7262.73,08/03/23,55
harvester Harvest,2023.78,20/10/23,13
