sentence,item_start,item_end,amount_start,amount_end
"On Monday, Harvested jamun saplings and sold for 18946 rupees.",21,35,49,54
"Yesterday, Last week, rice seeds was sold for 6756 rupees.",22,32,46,50
"On Monday, I invested 26598 rupees for buying wheat seeds.",46,57,22,27
"Last month, Last week, rice seeds was sold for 892 rupees.",23,33,47,50
Cost of irrigation pipe amounted to 30925 rupees.,8,23,36,41
The expense for mango saplings was 41805 rupees.,16,30,35,40
"On Monday, Spent 16535 INR on purchasing organic compost for my farm.",41,56,17,22
"During the season, The expense for goat was 27337 rupees.",35,39,44,49
Used 23076 rupees to buy greenhouse setup.,25,41,5,10
"Last month, Used 19143 rupees to buy mango saplings.",37,51,17,22
"On Monday, Bought mango saplings today and paid 15679 rupees.",18,32,48,53
"During the season, The cost of onion seeds was 8808 rupees.",31,42,47,51
"In the evening, Sold cow in the market and earned 27337 rupees.",21,24,50,55
"On Monday, Used 18581 rupees to buy coconut trees.",36,49,16,21
"Last month, I invested 46100 rupees for buying solar water pump.",47,63,23,28
"Just now, Harvest of greenhouse setup brought in 7162 INR.",21,37,49,53
"Yesterday, Paid 6969 rupees to buy cow.",35,38,16,20
"During the season, Purchased irrigation pipe at 10700 rupees.",29,44,48,53
"Early morning, I gave 27892 rupees as investment for pesticide.",53,62,22,27
"Recently, Amount paid for wheat seeds was 38303 rupees.",26,37,42,47
"Early morning, Amount paid for goat was 29956 rupees.",31,35,40,45
"Yesterday, Paid 24810 rupees to buy tomato plants.",36,49,16,21
"Yesterday, Received 44237 rupees from selling harvesting machine.",46,64,20,25
"On Monday, Acquired fertilizer by paying 6613 rupees.",20,30,41,45
"Last month, Paid 30013 rupees to buy rice seeds.",37,47,17,22
"Early morning, I invested 5128 rupees for buying fertilizer.",49,59,26,30
"Yesterday, The cost of goat was 25782 rupees.",23,27,32,37
"Today, Sold rice seeds in the market and earned 3714 rupees.",12,22,48,52
"In the evening, Cost of organic compost amounted to 728 rupees.",24,39,52,55
"In the evening, Bought tomato plants today and paid 46905 rupees.",23,36,52,57
"Early morning, Last week, duck feed was sold for 25303 rupees.",26,35,49,54
"Recently, Used 13683 rupees to buy solar water pump.",35,51,15,20
"On Monday, Bought mango saplings today and paid 34268 rupees.",18,32,48,53
"During the season, Around noon, I spent 29335 rupees on tractor repair.",56,70,40,45
"Recently, Used 37105 rupees to buy goat.",35,39,15,20
"Just now, Bought rice seeds today and paid 6845 rupees.",17,27,43,47
"Today, Sold onion seeds in the market and earned 49736 rupees.",12,23,49,54
"On Monday, Cost of harvesting machine amounted to 36132 rupees.",19,37,50,55
"During the season, Last week, duck feed was sold for 43782 rupees.",30,39,53,58
"Just now, Sold goat in the market and earned 49376 rupees.",15,19,45,50
"Just now, I gave 44853 rupees as investment for poultry feed.",48,60,17,22
"On Monday, Last week, organic compost was sold for 1183 rupees.",22,37,51,55
"Early morning, Purchased tractor repair at 37917 rupees.",25,39,43,48
Sold poultry feed in the market and earned 37642 rupees.,5,17,43,48
"Today, Sold fertilizer in the market and earned 42665 rupees.",12,22,48,53
"During the season, Harvested mango saplings and sold for 21118 rupees.",29,43,57,62
"During the season, Invested 28262 for purchasing coconut trees.",49,62,28,33
"Just now, Purchased jamun saplings at 3258 rupees.",20,34,38,42
"In the evening, The expense for mango saplings was 681 rupees.",32,46,51,54
"Early morning, The expense for goat was 7041 rupees.",31,35,40,44
"Today, Acquired organic compost by paying 9464 rupees.",16,31,42,46
"Today, Spent 27995 INR on purchasing fertilizer for my farm.",37,47,13,18
"Early morning, Invested 45965 for purchasing irrigation pipe.",45,60,24,29
"On Monday, Acquired pesticide by paying 255 rupees.",20,29,40,43
"Recently, Harvest of poultry feed brought in 43756 INR.",21,33,45,50
Invested 39171 for purchasing jamun saplings.,30,44,9,14
"Today, The expense for onion seeds was 43450 rupees.",23,34,39,44
"Early morning, The expense for banana plants was 45175 rupees.",31,44,49,54
"Yesterday, Harvested greenhouse setup and sold for 435 rupees.",21,37,51,54
"Just now, Sold duck feed in the market and earned 6197 rupees.",15,24,50,54
"Recently, I gave 15561 rupees as investment for coconut trees.",48,61,17,22
"During the season, Harvested tomato plants and sold for 8087 rupees.",29,42,56,60
"Last month, Around noon, I spent 33734 rupees on fertilizer.",49,59,33,38
Cost of poultry feed amounted to 49300 rupees.,8,20,33,38
"Just now, The expense for coconut trees was 1402 rupees.",26,39,44,48
"Today, Harvested goat and sold for 759 rupees.",17,21,35,38
"Just now, I gave 12226 rupees as investment for irrigation pipe.",48,63,17,22
"Today, Purchased mango saplings at 43610 rupees.",17,31,35,40
"Last month, Paid 31109 rupees to buy harvesting machine.",37,55,17,22
"Yesterday, Around noon, I spent 34573 rupees on poultry feed.",48,60,32,37
"Yesterday, Acquired harvesting machine by paying 32740 rupees.",20,38,49,54
"Yesterday, Invested 1985 for purchasing rice seeds.",40,50,20,24
